,city,cloudiness,humidity,latitude,longitude,max_temperature,wind_speed,country,datetime
156,ipixuna,40,94,-1.76,-48.8,75.2,4.7,BR,1595302320
157,osuna,81,47,37.24,-5.11,84.0,9.17,ES,1595302320
158,san quintin,0,80,30.48,-115.95,66.58,14.99,MX,1595302320
159,saint-philippe,90,63,-21.36,55.77,62.6,6.93,RE,1595302070
160,tiksi,93,80,71.69,128.87,52.07,8.77,RU,1595302320
161,lavaltrie,80,71,45.88,-73.28,73.99,5.1,CA,1595302320
162,margate,0,81,51.38,1.39,55.0,1.01,GB,1595302212
163,phalaborwa,0,81,-23.94,31.14,50.0,3.36,ZA,1595302321
164,taltal,100,73,-25.4,-70.48,56.8,2.28,CL,1595302321
165,antsohihy,0,64,-14.88,47.99,67.26,8.34,MG,1595302321
166,palu,21,51,-0.89,119.87,91.09,2.8,ID,1595302321
167,khandyga,95,37,62.67,135.6,82.04,11.81,RU,1595302321
168,matara,100,73,5.95,80.54,83.95,5.7,LK,1595302321
169,loikaw,99,94,19.67,97.21,70.79,2.39,MM,1595302322
170,flinders,7,38,-34.58,150.86,61.0,8.05,AU,1595302322
171,aktash,100,50,50.3,87.73,65.26,2.37,RU,1595302322
172,banatski karlovac,0,93,45.05,21.02,57.2,1.12,RS,1595302322
173,carnarvon,0,38,-24.87,113.63,73.4,12.75,AU,1595302066
174,bengkulu,79,60,-3.8,102.27,86.56,5.3,ID,1595302322
175,rantepao,23,57,-2.97,119.9,82.51,4.74,ID,1595302323
176,magadan,8,58,59.57,150.8,64.18,7.29,RU,1595302323
177,castro,7,82,-24.79,-50.01,54.03,3.36,BR,1595302323
178,ca mau,100,60,9.18,105.15,90.01,2.59,VN,1595302323
179,atambua,100,45,-9.11,124.89,83.28,1.5,ID,1595302323
180,vao,90,66,-22.67,167.48,68.76,13.98,NC,1595302103
181,sayyan,94,76,15.17,44.32,60.06,1.14,YE,1595302323
182,portland,1,42,45.52,-122.68,87.01,9.17,US,1595302027
183,menongue,0,65,-14.66,17.69,44.74,4.97,AO,1595302323
184,puerto quijarro,0,48,-17.78,-57.77,71.42,2.95,BO,1595302324
185,bjornevatn,75,93,69.67,29.98,60.8,11.41,NO,1595302324
186,kutum,40,79,14.2,24.67,71.06,6.69,SD,1595302324
187,hasaki,75,88,35.73,140.83,84.0,5.82,JP,1595302046
188,huilong,100,76,31.81,121.66,88.0,1.99,CN,1595302324
189,opuwo,0,52,-18.06,13.84,49.77,7.07,NA,1595302324
190,kabarnet,99,100,0.49,35.74,55.92,0.85,KE,1595302325
191,ribeira grande,12,69,38.52,-28.7,68.74,1.68,PT,1595302325
192,torbay,75,93,47.67,-52.73,64.4,24.16,CA,1595302076
193,grand island,75,78,40.92,-98.34,75.2,6.93,US,1595302305
194,mildura,40,62,-34.2,142.15,54.0,8.05,AU,1595302065
195,inhambane,100,65,-23.86,35.38,67.19,5.5,MZ,1595302325
196,jibuti,1,41,11.5,42.5,91.4,9.17,DJ,1595302325
197,batagay-alyta,100,55,67.8,130.41,78.1,7.49,RU,1595302325
198,clyde river,90,100,70.47,-68.59,42.8,10.29,CA,1595302326
199,carutapera,5,91,-1.2,-46.02,73.69,2.75,BR,1595302100
200,narsaq,78,66,60.92,-46.05,50.0,4.7,GL,1595302326
201,jiexiu,100,28,37.02,111.91,86.97,3.47,CN,1595302326
202,talcahuano,90,93,-36.72,-73.12,50.0,5.82,CL,1595302326
203,holme,68,93,56.11,10.17,51.01,9.17,DK,1595302326
204,aktau,20,30,43.65,51.2,82.4,11.18,KZ,1595302326
205,lazarev,100,84,52.23,141.51,61.29,14.5,RU,1595302327
206,nawa,59,57,27.02,75.0,88.9,16.08,IN,1595302327
207,high level,75,73,58.52,-117.14,69.8,5.82,CA,1595302327
208,maragogi,76,78,-9.01,-35.22,73.22,11.32,BR,1595302327
209,troitskoye,15,66,52.98,84.68,76.35,6.71,RU,1595302327
210,fairbanks,75,56,64.84,-147.72,69.8,11.97,US,1595302231
211,lima,90,77,-12.04,-77.03,60.8,4.7,PE,1595302047
212,kostrzyn,29,91,52.4,17.23,55.99,4.0,PL,1595302327
213,makakilo city,75,51,21.35,-158.09,86.0,9.17,US,1595302282
214,petropavlovsk-kamchatskiy,20,72,53.05,158.65,62.6,11.18,RU,1595302328
215,raudeberg,100,87,61.99,5.14,50.0,3.36,NO,1595302328
216,lorengau,63,64,-2.02,147.27,85.95,8.9,PG,1595302328
217,daru,51,81,-9.08,143.21,79.7,15.08,PG,1595302328
218,iqaluit,90,100,63.75,-68.51,44.6,8.05,CA,1595302328
219,karpathos,0,78,35.51,27.21,76.03,19.35,GR,1595302328
220,inverell,65,36,-29.78,151.12,64.99,1.99,AU,1595302328
221,kroya,31,68,-7.63,109.25,84.9,10.22,ID,1595302328
222,hobart,40,54,-42.88,147.33,59.0,9.17,AU,1595302204
223,sabha,0,38,27.04,14.43,78.22,13.96,LY,1595302329
224,bubaque,100,88,11.28,-15.83,78.08,13.87,GW,1595302329
225,katsuura,75,88,35.13,140.3,84.0,5.82,JP,1595302329
226,airai,99,46,-8.93,125.41,73.81,4.16,TL,1595302329
227,dzhubga,67,84,44.32,38.7,73.9,8.16,RU,1595302329
228,port elizabeth,40,100,-33.92,25.57,53.6,5.82,ZA,1595302329
229,belaya gora,41,25,68.53,146.42,88.29,8.9,RU,1595302329
230,wakkanai,75,83,45.41,141.67,69.8,9.17,JP,1595302329
231,ponta do sol,40,77,32.67,-17.1,68.0,11.41,PT,1595302330
232,tagusao,35,62,9.19,117.81,87.67,2.19,PH,1595302330
233,bara,100,89,10.37,10.73,73.2,10.67,NG,1595302330
234,lompoc,12,82,34.64,-120.46,60.8,14.99,US,1595302294
235,takoradi,85,92,4.88,-1.76,74.86,4.5,GH,1595302330
236,bayji,0,11,34.93,43.49,92.66,12.95,IQ,1595302330
237,bukama,0,56,-9.2,25.85,58.77,3.6,CD,1595302330
238,omboue,62,88,-1.57,9.26,70.93,5.17,GA,1595302330
239,saint-augustin,99,97,51.23,-58.65,61.34,9.19,CA,1595302330
240,mar del plata,90,93,-38.0,-57.56,52.0,18.34,AR,1595302331
241,srednekolymsk,23,28,67.45,153.68,83.3,13.38,RU,1595302331
242,berlevag,100,93,70.86,29.09,55.4,2.24,NO,1595302331
243,cabo san lucas,10,41,22.89,-109.91,89.01,11.43,MX,1595302262
244,rassvet,67,67,46.83,40.75,71.2,5.99,RU,1595302331
245,kemijarvi,59,84,66.71,27.43,64.31,3.87,FI,1595302331
246,tabuk,11,59,17.42,121.44,89.04,5.3,PH,1595302331
247,adrar,57,28,20.5,-10.07,91.63,5.64,MR,1595302331
248,nalut,0,71,30.33,10.85,69.69,15.32,LY,1595302331
249,padang,20,70,-0.95,100.35,86.0,2.24,ID,1595302332
250,rio grande,100,85,-32.03,-52.1,64.99,9.06,BR,1595302332
251,lasem,42,66,-6.69,111.45,86.22,8.12,ID,1595302332
252,baruun-urt,46,34,46.68,113.28,79.2,14.7,MN,1595302332
253,salalah,75,100,17.02,54.09,78.8,2.24,OM,1595302333
254,labuhan,35,68,-6.88,112.21,85.78,7.43,ID,1595302333
255,nanortalik,60,63,60.14,-45.24,47.61,1.28,GL,1595302333
256,harper,42,90,4.38,-7.72,75.47,8.32,LR,1595302333
257,iki-burul,29,60,45.82,44.65,71.6,8.95,RU,1595302333
258,evensk,0,40,61.95,159.23,68.95,10.36,RU,1595302333
259,mogadishu,100,82,2.04,45.34,76.62,21.16,SO,1595302100
260,port hardy,75,77,50.7,-127.42,64.4,6.93,CA,1595302222
261,beyneu,25,17,45.32,55.2,94.69,8.93,KZ,1595302334
262,jieshi,96,65,22.81,115.83,86.74,6.06,CN,1595302334
263,eyl,86,49,7.98,49.82,80.96,32.7,SO,1595302334
264,itarema,80,85,-2.92,-39.92,75.96,11.92,BR,1595302334
265,buta,9,90,2.79,24.73,66.2,1.7,CD,1595302334
266,sitka,90,93,57.05,-135.33,55.4,5.82,US,1595302139
267,kilindoni,31,76,-7.91,39.67,75.97,18.07,TZ,1595302334
268,chimbote,43,87,-9.09,-78.58,60.64,6.31,PE,1595302334
269,lebu,100,83,-37.62,-73.65,50.58,12.82,CL,1595302335
270,vila franca do campo,75,88,37.72,-25.43,66.2,4.7,PT,1595302335
271,benjamin aceval,20,57,-24.97,-57.57,75.2,6.93,PY,1595302335
